"number";"name";"description";"restriction";"fonction"
24560;"DISODIUM TETRAMETHYLHEXADECENYLCYSTEINE";"Disodium Tetramethylhexadecenylcysteine Formylprolinate is the organic compound that conforms to the formula:(";"";"SKIN PROTECTING"
24682;"LIQUIDAMBAR STYRACIFLUA";"(Liquidambar Styraciflua/Tribulus Terrestris) Fruit/Paeonia Lactiflora Root Extract is the extract of the fruit of Liquidambar styraciflua and Tribulus terrestris , and the roots of Paeonia lactiflora.";"";"SKIN CONDITIONING"
24682;"TRIBULUS TERRESTRIS";"(Liquidambar Styraciflua/Tribulus Terrestris) Fruit/Paeonia Lactiflora Root Extract is the extract of the fruit of Liquidambar styraciflua and Tribulus terrestris , and the roots of Paeonia lactiflora.";"";"SKIN CONDITIONING"
24682;"PAEONIA LACTIFLORA";"(Liquidambar Styraciflua/Tribulus Terrestris) Fruit/Paeonia Lactiflora Root Extract is the extract of the fruit of Liquidambar styraciflua and Tribulus terrestris , and the roots of Paeonia lactiflora.";"";"SKIN CONDITIONING"
 ;"ACRYLATES";"Acrylates/VA/Vinyl Neodecanoate Copolymer is a copolymer of Vinyl Acetate, vinyl neodecanoate and one or more monomers consisting of acrylic acid, methacrylic acid or one of their simple esters.";"";"PLASTICISER"
 ;"VA";"Acrylates/VA/Vinyl Neodecanoate Copolymer is a copolymer of Vinyl Acetate, vinyl neodecanoate and one or more monomers consisting of acrylic acid, methacrylic acid or one of their simple esters.";"";"PLASTICISER"
25423;"VINYL NEODECANOATE";"Acrylates/VA/Vinyl Neodecanoate Copolymer is a copolymer of Vinyl Acetate, vinyl neodecanoate and one or more monomers consisting of acrylic acid, methacrylic acid or one of their simple esters.";"";"PLASTICISER"
25990;"ASTROCARYUM VULGARE";"Astrocaryum Vulgare Seed Butter is the fat obtained from the seeds of Astrocaryum vulgare, Palmae";"";"EMOLLIENT, SKIN CONDITIONING"
19861;"BARLEY SH-POLYPEPTIDE-17";"Barley sh-Polypeptide-17 is a single chain recombinant human peptide, produced by barley plants after using either a transient expression system or transgenesis (stable insertion of a copy of a human gene into its DNA). The starting gene is synthesized to be identical to a human gene which codes for Interleukin 1 Alpha. It contains a maximum of 272 amino acids, which may contain disulfide bonds and/or glycosylation. The protein consists of the proper sequence of the 20 standard amino acids.";"";"HAIR CONDITIONING, SKIN CONDITIONING"
19780;"GOSSYPIUM HIRSUTUM";"Gossypium Hirsutum Seed Extract is the extract of the seeds of Gossypium hirsutum, Malvaceae.";"";"SKIN CONDITIONING"
