"x"
"DISODIUM TETRAMETHYLHEXADECENYLCYSTEINE"
"LIQUIDAMBAR STYRACIFLUA"
"TRIBULUS TERRESTRIS"
"PAEONIA LACTIFLORA"
"ACRYLATES"
"VA"
"VINYL NEODECANOATE"
"ASTROCARYUM VULGARE"
"BARLEY SH-POLYPEPTIDE-17"
"GOSSYPIUM HIRSUTUM"
"HYDROLYZED CITRUS"
"FORSYTHIA VIRIDISSIMA"
"GARDENIA FLORIDA"
"MENTHA ARVENSIS"
"ANGELICA ACUTILOBA"
"COPTIS JAPONICA"
"GLYCYRRHIZA GLABRA"
"PLATYCODON GRANDIFLORUS"
"REHMANNIA GLUTINOSA"
"SCUTELLARIA BAICALENSIS"
"HYDROLYZED FORSYTHIA"
"CIMICIFUGA DAHURICA"
"PUERARIA LOBATA"
"ICTASOL"
"ISOOCTANOYL TETRAPEPTIDE-25"
"LACTOBACILLUS"
"GERMINATED SOYBEAN"
"METHOXYETHANOL"
"MYRISTOYL GLYCINE"
"HISTIDINE"
"LYSINE POLYPEPTIDE"
"NONAPEPTIDE-11"
"PENTACLETHRA MACROPHYLLA"
"TRISODIUM TETRAMETHYLHEXADECENYLCYSTEINE"
"AGARICUS BLAZEI"
"CNIDIUM OFFICINALE"
"COPTIS CHINENSIS"
"GARDENIA JASMINOIDES"
"PHELLODENDRON CHINENSE"
"ANGELICA GIGAS"
"GLYCYRRHIZA URALENSIS"
"CARTHAMUS TINCTORIUS"
"PRUNUS PERSICA"
"ANGELICA KEISKEI"
"CHRYSANTHEMUM ZAWADSKII"
"STEM"
"CINNAMOMUM CASSIA"
"TRICHOSANTES KIRILOWII"
"ULMUS DAVIDIANA"
"ROOT"
"PAEONIA JAPONICA"
"BUPLEURUM FALCATUM"
"POLYGALA TENUIFOLIA"
"VISCUS ALBUM"
"APPLE"
"CITRUS JUNOS"
"LENTIL"
"PEAR"
"PUMPKIN"
"STRAWBERRY"
"TOMATO FRUIT"
"CORN KERNEL"
"ARCTIUM LAPPA"
"BRASSICA OLERACEA"
"CABBAGE"
