"Name";"Accepted_name_rank";"Accepted_name_family";"Genus_matched";"Specific_epithet_matched";"Accepted_name_species";"Taxonomic_status";"Overall_score";"Source";"fonction";"restriction";"description"
"Abies holophylla";"species";"Pinaceae";"Abies";"holophylla";"Abies holophylla";"Accepted";"1";"tpl;tropicos";"SKIN CONDITIONING";"";"Abies Holophylla Leaf/Stem/Wood Extract is the extract of the leaves, stems and wood of Abies holophylla, Pinaceae."
"Hibiscus acetosella";"species";"Malvaceae";"Hibiscus";"acetosella";"Hibiscus acetosella";"Accepted";"1";"tpl;tropicos";"ANTIOXIDANT, SKIN CONDITIONING";"";"Acetobacter/Saccharomyces/Hibiscus Acetosella Leaf/Sucrose Ferment Extract Filtrate is a filtrate of the extract of the product obtained by the fermentation of the leaves of Hibiscus acetosella and Sucrose by the microorganisms Acetobacter and Saccharomyces."
"Actinotus helianthi";"species";"Apiaceae";"Actinotus";"helianthi";"Actinotus helianthi";"Accepted";"1";"tpl";"SKIN CONDITIONING";"";"Actinotus Helianthi Flower Extract is the extract of the flowers of Actinotus helianthi, Apiaceae."
"Ajuga nipponensis";"species";"Lamiaceae";"Ajuga";"nipponensis";"Ajuga nipponensis";"Accepted";"1";"tpl;tropicos";"HUMECTANT, SKIN CONDITIONING";"";"Ajuga Nipponensis Leaf/Stem Extract is the extract of the leaves and stems of Ajuga nipponensis, Lamiaceae."
"Aloe tomentosa";"species";"Xanthorrhoeaceae";"Aloe";"tomentosa";"Aloe tomentosa";"Accepted";"1";"tpl";"HUMECTANT, SKIN CONDITIONING";"";"Aloe Tomentosa Leaf Extract is the extract of the leaves of Aloe tomentosa, Aloaceae."
"Alpinia japonica";"species";"Zingiberaceae";"Alpinia";"japonica";"Alpinia japonica";"Accepted";"1";"tpl;tropicos";"SKIN CONDITIONING";"";"Alpinia Japonica Rhizome Extract is the extract of the rhizomes of Alpinia japonica, Zingiberaceae."
"Angelonia angustifolia";"species";"Plantaginaceae";"Angelonia";"angustifolia";"Angelonia angustifolia";"Accepted";"1";"tpl;tropicos;usda";"HUMECTANT, SKIN CONDITIONING";"";"Angelonia Angustifolia Flower/Leaf/Stem Extract is the extract of the flowers, leaves and stems of Angelonia angustifolia, Plantaginaceae."
"Anredera cordifolia";"species";"Basellaceae";"Anredera";"cordifolia";"Anredera cordifolia";"Accepted";"1";"tpl;tropicos;usda";"HUMECTANT, SKIN CONDITIONING";"";"Anredera Cordifolia Leaf Extract is the extract of the leaves of Anredera cordifolia, Basellaceae."
"Antirrhinum majus";"species";"Plantaginaceae";"Antirrhinum";"majus";"Antirrhinum majus";"Accepted";"1";"tpl;tropicos;usda";"HUMECTANT, SKIN CONDITIONING";"";"Antirrhinum Majus Flower Extract is the extract of the flowers of Antirrhinum majus, Plantaginaceae."
"Aquilaria crassna";"species";"Thymelaeaceae";"Aquilaria";"crassna";"Aquilaria crassna";"Accepted";"1";"tpl;tropicos";"EMOLLIENT, SKIN CONDITIONING";"";"Aquilaria Crassna Stem Extract is the extract of the stems of Aquilaria crassna, Thymelaeaceae."
"Aquilaria sinensis";"species";"Thymelaeaceae";"Aquilaria";"sinensis";"Aquilaria sinensis";"Accepted";"1";"tpl;tropicos";"ANTIOXIDANT, SKIN PROTECTING";"";"Aquilaria Sinensis Leaf Extract is the extract of the leaves of Aquilaria sinensis, Thymelaeaceae."
"Artemisia afra";"species";"Asteraceae";"Artemisia";"afra";"Artemisia afra";"Accepted";"1";"gcc;tropicos";"FLAVOURING, MASKING, SKIN CONDITIONING";"";"Artemisia Afra Leaf/Stem Oil is the volatile oil obtained from the leaves and stems of Artemisia afra, Asteraceae."
"Rubus crataegifolius";"species";"Rosaceae";"Rubus";"crataegifolius";"Rubus crataegifolius";"Accepted";"1";"tpl;tropicos;usda";"SKIN CONDITIONING";"";"Aspergillus/Lactobacillus/Saccharomyces/Actinidia Arguta Fruit/Akebia Quinata Fruit/Corylus Heterophylla Fruit/Diospyros Lotus Fruit/Morus Alba Fruit/Prunus Davidiana Fruit/Pyrus Lindleji Fruit/Rubus Crataegifolius Fruit/Vitis Amurensis Fruit Ferment Filtrate is a filtrate of the product obtained by the fermentation of the fruit of Actinidia arguta, Akebia quinata, Corylus heterophylla, Diospyros lotus, Morus alba, Prunus davidiana, Pyrus lindleji, Rubus crataegifolius and Vitis amurensis, by the microorganisms, Aspergillus, Lactobacillus and Saccharomyces"
"Aster yomena";"species";"Asteraceae";"Aster";"yomena";"Aster yomena";"Accepted";"1";"gcc";"SKIN CONDITIONING";"";"Aster Yomena Callus Conditioned Media is the growth media removed from cultures of callus cells from Aster yomena after several days of growth."
"Athrixia phylicoides";"species";"Asteraceae";"Athrixia";"phylicoides";"Athrixia phylicoides";"Accepted";"1";"gcc;tropicos";"EMOLLIENT, SKIN CONDITIONING";"";"Athrixia Phylicoides Leaf Extract is the extract of the leaves of Athrixia phylicoides, Asteraceae."
"Berardia lanuginosa";"species";"Asteraceae";"Berardia";"lanuginosa";"Berardia lanuginosa";"Accepted";"1";"gcc";"SKIN CONDITIONING";"";"Berardia Lanuginosa Callus Culture Extract is the extract of a culture of the callus of Berardia lanuginosa, Asteraceae."
"Callicarpa dichotoma";"species";"Lamiaceae";"Callicarpa";"dichotoma";"Callicarpa dichotoma";"Accepted";"1";"tpl";"HUMECTANT, SKIN CONDITIONING";"";"Callicarpa Dichotoma Fruit Extract is the extract of the fruit of Callicarpa dichotoma, Lamiaceae."
"Campanula punctata";"species";"Campanulaceae";"Campanula";"punctata";"Campanula punctata";"Accepted";"1";"tpl;tropicos;usda";"ANTIMICROBIAL, ANTIOXIDANT, HAIR CONDITIONING, SKIN CONDITIONING, SKIN PROTECTING";"";"Campanula Punctata Callus Extract is the extract of the callus of Campanula punctata grown in culture."
"Capparis mitchellii";"species";"Capparaceae";"Capparis";"mitchellii";"Capparis mitchellii";"Accepted";"1";"tpl";"SKIN CONDITIONING";"";"Capparis Mitchellii Leaf Extract is the extract of the leaves of Capparis mitchellii, Capparaceae."
"Centipeda minima";"species";"Asteraceae";"Centipeda";"minima";"Centipeda minima";"Accepted";"1";"gcc";"EMOLLIENT, SKIN CONDITIONING, SKIN PROTECTING";"";"Centipeda Minima Extract is the extract of the whole plant Centipeda minima, Asteraceae."
"Chionanthus retusus";"species";"Oleaceae";"Chionanthus";"retusus";"Chionanthus retusus";"Accepted";"1";"tpl;tropicos";"HUMECTANT, SKIN CONDITIONING";"";"Chionanthus Retusus Flower/Leaf/Seed Extract is the extract of the flowers, leaves and seeds of Chionanthus retusus, Oleaceae."
"Elsholtzia ciliata";"species";"Lamiaceae";"Elsholtzia";"ciliata";"Elsholtzia ciliata";"Accepted";"1";"tpl;tropicos;usda";"ANTIOXIDANT, ANTISEBORRHOEIC, EMOLLIENT, HUMECTANT, SKIN CONDITIONING";"";"This is the extract of the branches of Cinnamomum cassia ; the flowers of Lonicera japonica; the fruits of Arctium lappa, and Schisandra chinensis; the roots of Paeonia suffruticosa; the whole plant Elsholtzia ciliata."
"Cleyera japonica";"species";"Pentaphylacaceae";"Cleyera";"japonica";"Cleyera japonica";"Accepted";"1";"tpl;usda";"HUMECTANT";"";"Cleyera Japonica Leaf Extract is the extract of the leaves of Cleyera japonica, Pentaphylacaceae."
"Clinacanthus nutans";"species";"Acanthaceae";"Clinacanthus";"nutans";"Clinacanthus nutans";"Accepted";"1";"tpl";"ANTIOXIDANT, SKIN CONDITIONING, SKIN PROTECTING";"";"Clinacanthus Nutans Leaf Extract is the extract of the leaves of Clinacanthus nutans, Acanthaceae."
"Commiphora tenuipetiolata";"species";"Burseraceae";"Commiphora";"tenuipetiolata";"Commiphora tenuipetiolata";"Accepted";"1";"tpl;tropicos";"ANTIMICROBIAL, ANTISEBORRHOEIC";"";"Commiphora Tenuipetiolata Gum Extract is the extract of the gum of Commiphora tenuipetiolata, Burseraceae."
"Corydalis heterocarpa";"species";"Papaveraceae";"Corydalis";"heterocarpa";"Corydalis heterocarpa";"Accepted";"1";"tpl;tropicos";"EMOLLIENT, SKIN CONDITIONING";"";"Corydalis Heterocarpa Extract is the extract of the whole plant Corydalis heterocarpa, Papaveraceae."
