"Name";"Accepted_name_rank";"Accepted_name_family";"Genus_matched";"Specific_epithet_matched";"Accepted_name_species";"Taxonomic_status";"Overall_score";"Source";"fonction";"restriction";"description"
"Abeliophyllum distichum";"species";"Oleaceae";"Abeliophyllum";"distichum";"Abeliophyllum distichum";"Accepted";"1";"tpl;tropicos";"SKIN CONDITIONING";"";"Abeliophyllum Distichum Extract is the extract of the whole plant, Abeliophyllum distichum, Oleaceae"
"Abelmoschus esculentus";"species";"Malvaceae";"Abelmoschus";"esculentus";"Abelmoschus esculentus";"Accepted";"1";"tpl;tropicos;usda";"SKIN CONDITIONING";"";"Abelmoschus Esculentus Fruit Extract is an extract of the fruit of Abelmoschus esculentus, Malvaceae"
"Abelmoschus manihot";"species";"Malvaceae";"Abelmoschus";"manihot";"Abelmoschus manihot";"Accepted";"1";"tpl;tropicos";"HUMECTANT, SKIN CONDITIONING";"";"Abelmoschus Manihot Root Extract is the extract of the roots of Abelmoschus manihot, Malvaceae."
"Abies alba";"species";"Pinaceae";"Abies";"alba";"Abies alba";"Accepted";"1";"tpl;tropicos;usda";"PERFUMING";"III/103";"Abies Alba Cone Extract is an extract obtained from the cones of the fir Abies alba, Pinaceae"
"Abies balsamea";"species";"Pinaceae";"Abies";"balsamea";"Abies balsamea";"Accepted";"1";"tpl;tropicos;usda";"PERFUMING";"III/107";"""Canadian Balsam; Fir Balsam"". Oleoresin obtained by solvent extraction from the exudate of the balsam fir, Balsam Canada, Abies balsamea, Tsuga canadiensis, Pinaceae. It contains mainly 1-beta-phellandrene, resins, essential oil, cinnamic and benzoic acids"
"Abies concolor";"species";"Pinaceae";"Abies";"concolor";"Abies concolor";"Accepted";"1";"tpl";"MASKING";"";"Abies Concolor Branch/Leaf/Wood Oil is the volatile oil abtained from branches, leaves, and wood of Abies concolor."
"Abies grandis";"species";"Pinaceae";"Abies";"grandis";"Abies grandis";"Accepted";"1";"tpl";"ANTIMICROBIAL, ANTIOXIDANT, BLEACHING, HAIR CONDITIONING, SKIN CONDITIONING";"";"Kluyveromyces/Lactobacillus/Abies Grandis Leaf Oil Ferment Filtrate is a filtrate of the product obtained by the fermentation of volatile oil derived from the leaves of Abies Grandis by the microorganisms, Kluyveromyces and Lactobacilus."
"Abies homolepis";"species";"Pinaceae";"Abies";"homolepis";"Abies homolepis";"Accepted";"1";"tpl;tropicos;usda";"ASTRINGENT, HUMECTANT";"";"Abies Homolepis Leaf Extract is the extract of the leaves of Abies homolepis, Pinaceae."
"Abies koreana";"species";"Pinaceae";"Abies";"koreana";"Abies koreana";"Accepted";"1";"tpl";"HAIR CONDITIONING, HAIR WAVING OR STRAIGHTENING, SKIN CONDITIONING";"";"Abies Koreana Leaf Extract is an extract of the leaves of Abies koreana, Pinaceae"
"Abies sachalinensis";"species";"Pinaceae";"Abies";"sachalinensis";"Abies sachalinensis";"Accepted";"1";"tpl";"MASKING";"";"Abies Sachalinensis Branch/Leaf Water is the steam distillate obtained from the branches and leaves of Abies sachalinensis, Pinaceae"
"Abies sibirica";"species";"Pinaceae";"Abies";"sibirica";"Abies sibirica";"Accepted";"1";"tpl;tropicos";"PERFUMING";"III/106";"Abies Sibirica Needle Extract is an extract obtained from the needles and branches of the fir, Abies sibirica, Pinaceeae"
"Abies spectabilis";"species";"Pinaceae";"Abies";"spectabilis";"Abies spectabilis";"Accepted";"1";"tpl";"MASKING, SKIN CONDITIONING";"";"Abies Spectabilis Branch/Leaf Oil is the volatile oil obtained from the leaves and branches of Abies spectabilis, Pinaceae"
"Abies veitchii";"species";"Pinaceae";"Abies";"veitchii";"Abies veitchii";"Accepted";"1";"tpl;usda";"ASTRINGENT, HUMECTANT";"";"Abies Veitchii Leaf Extract is the extract of the leaves of Abies veitchii, Pinaceae."
"Abronia villosa";"species";"Nyctaginaceae";"Abronia";"villosa";"Abronia villosa";"Accepted";"1";"tpl";"SKIN CONDITIONING";"";"Abronia Villosa Leaf Extract is an extract of the leaves of Abronia villosa, Nyctaginaceae"
"Abrus fruticulosus";"species";"Fabaceae";"Abrus";"fruticulosus";"Abrus fruticulosus";"Accepted";"1";"ildis;tropicos";"SKIN CONDITIONING";"";"Abrus Fruticulosus Leaf Extract is the extract of the leaves of Arbus fructiculosus, Fabaceae."
