Name_number;Name_submitted;Overall_score;Name_matched;Name_matched_rank;Name_score;Name_matched_author;Name_matched_url;Author_matched;Author_score;Family_matched;Family_score;Name_matched_accepted_family;Genus_matched;Genus_score;Specific_epithet_matched;Specific_epithet_score;Infraspecific_rank;Infraspecific_epithet_matched;Infraspecific_epithet_score;Infraspecific_rank_2;Infraspecific_epithet_2_matched;Infraspecific_epithet_2_score;Annotations;Unmatched_terms;Taxonomic_status;Accepted_name;Accepted_name_author;Accepted_name_rank;Accepted_name_url;Accepted_name_species;Accepted_name_family;Selected;Source;Warnings;Accepted_name_lsid
0;x;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
1;DISODIUM TETRAMETHYLHEXADECENYLCYSTEINE;0.49;Dipodium;genus;0.49;;http://www.theplantlist.org/tpl1.1/search?q=Dipodium;;;;;Orchidaceae;Dipodium;0.88;;;;;;;;;;TETRAMETHYLHEXADECENYLCYSTEINE;Accepted;Dipodium;;genus;http://www.theplantlist.org/tpl1.1/search?q=Dipodium;;Orchidaceae;true;tpl; [Partial match] ;
2;LIQUIDAMBAR STYRACIFLUA;1;Liquidambar styraciflua;species;1;L.;"http://www.theplantlist.org/tpl1.1/record/kew-2348877;http://www.tropicos.org/Name/15100008;http://plants.usda.gov/java/profile?symbol=LIST2";;;;;Altingiaceae;Liquidambar;1;styraciflua;1;;;;;;;;;Accepted;Liquidambar styraciflua;L.;species;"http://www.theplantlist.org/tpl1.1/record/kew-2348877;http://www.tropicos.org/Name/15100008;http://plants.usda.gov/java/profile?symbol=LIST2";Liquidambar styraciflua;Altingiaceae;true;"tpl;tropicos;usda"; ;
3;TRIBULUS TERRESTRIS;1;Tribulus terrestris;species;1;L.;"http://www.theplantlist.org/tpl1.1/record/kew-2518835;http://www.tropicos.org/Name/34600016;http://plants.usda.gov/java/profile?symbol=TRTE";;;;;Zygophyllaceae;Tribulus;1;terrestris;1;;;;;;;;;Accepted;Tribulus terrestris;L.;species;"http://www.theplantlist.org/tpl1.1/record/kew-2518835;http://www.tropicos.org/Name/34600016;http://plants.usda.gov/java/profile?symbol=TRTE";Tribulus terrestris;Zygophyllaceae;true;"tpl;tropicos;usda"; ;
4;PAEONIA LACTIFLORA;1;Paeonia lactiflora;species;1;Pall.;"http://www.theplantlist.org/tpl1.1/record/kew-2560862;http://www.tropicos.org/Name/27100113;http://plants.usda.gov/java/profile?symbol=PALA27";;;;;Paeoniaceae;Paeonia;1;lactiflora;1;;;;;;;;;Accepted;Paeonia lactiflora;Pall.;species;"http://www.theplantlist.org/tpl1.1/record/kew-2560862;http://www.tropicos.org/Name/27100113;http://plants.usda.gov/java/profile?symbol=PALA27";Paeonia lactiflora;Paeoniaceae;true;"tpl;tropicos;usda"; ;
5;ACRYLATES;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
6;VA;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
7;VINYL NEODECANOATE;0.34;Vinca;genus;0.34;;"http://www.theplantlist.org/tpl1.1/search?q=Vinca;http://plants.usda.gov/java/profile?symbol=VINCA";;;;;Apocynaceae;Vinca;0.6;;;;;;;;;;NEODECANOATE;Accepted;Vinca;;genus;"http://www.theplantlist.org/tpl1.1/search?q=Vinca;http://plants.usda.gov/java/profile?symbol=VINCA";;Apocynaceae;true;"tpl;usda"; [Partial match] ;
8;ASTROCARYUM VULGARE;1;Astrocaryum vulgare;species;1;Mart.;"http://www.theplantlist.org/tpl1.1/record/kew-17587;http://www.tropicos.org/Name/2400186";;;;;Arecaceae;Astrocaryum;1;vulgare;1;;;;;;;;;Accepted;Astrocaryum vulgare;Mart.;species;"http://www.theplantlist.org/tpl1.1/record/kew-17587;http://www.tropicos.org/Name/2400186";Astrocaryum vulgare;Arecaceae;true;"tpl;tropicos"; ;
9;BARLEY SH-POLYPEPTIDE-17;0.67;Bartleya;genus;0.77;;"http://www.theplantlist.org/tpl1.1/search?q=Bartleya;";;;;;Dicranaceae;Bartleya;0.75;;;;;;;;;;SH-POLYPEPTIDE-17;No opinion;;;;";";;;true;"tpl;usda"; ;
10;GOSSYPIUM HIRSUTUM;1;Gossypium hirsutum;species;1;L.;"http://www.theplantlist.org/tpl1.1/record/kew-2831092;http://www.tropicos.org/Name/19600941;http://plants.usda.gov/java/profile?symbol=GOHI";;;;;Malvaceae;Gossypium;1;hirsutum;1;;;;;;;;;Accepted;Gossypium hirsutum;L.;species;"http://www.theplantlist.org/tpl1.1/record/kew-2831092;http://www.tropicos.org/Name/19600941;http://plants.usda.gov/java/profile?symbol=GOHI";Gossypium hirsutum;Malvaceae;true;"tpl;tropicos;usda"; ;
11;HYDROLYZED CITRUS;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
12;FORSYTHIA VIRIDISSIMA;1;Forsythia viridissima;species;1;Lindl.;"http://www.theplantlist.org/tpl1.1/record/kew-369455;http://www.tropicos.org/Name/23000131;http://plants.usda.gov/java/profile?symbol=FOVI";;;;;Oleaceae;Forsythia;1;viridissima;1;;;;;;;;;Accepted;Forsythia viridissima;Lindl.;species;"http://www.theplantlist.org/tpl1.1/record/kew-369455;http://www.tropicos.org/Name/23000131;http://plants.usda.gov/java/profile?symbol=FOVI";Forsythia viridissima;Oleaceae;true;"tpl;tropicos;usda"; ;
13;GARDENIA FLORIDA;1;Gardenia florida;species;1;L.;http://www.theplantlist.org/tpl1.1/record/kew-88213;;;;;Rubiaceae;Gardenia;1;florida;1;;;;;;;;;Synonym;Gardenia jasminoides;J.Ellis;species;http://www.theplantlist.org/tpl1.1/record/kew-88270;Gardenia jasminoides;Rubiaceae;true;tpl; ;
14;MENTHA ARVENSIS;1;Mentha arvensis;species;1;L.;"http://www.theplantlist.org/tpl1.1/record/kew-124385;http://www.tropicos.org/Name/17600151;http://plants.usda.gov/java/profile?symbol=MEAR4";;;;;Lamiaceae;Mentha;1;arvensis;1;;;;;;;;;Accepted;Mentha arvensis;L.;species;"http://www.theplantlist.org/tpl1.1/record/kew-124385;http://www.tropicos.org/Name/17600151;http://plants.usda.gov/java/profile?symbol=MEAR4";Mentha arvensis;Lamiaceae;true;"tpl;tropicos;usda"; ;
