"Species_TNRS";"Species";"Longitude";"Latitude";"Country";"Locality";"Elevation";"Event_date";"Extracted_from";"Restriction"
"Abeliophyllum distichum";"Paspalum distichum";130,796654;-12,940042;"Australia";""; ;"1953-01-01";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";150,609127994;-34,168613743;"Australia";"locality withheld"; ;"1995-01-01";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum"; ; ;"Australia";"Swan Pool."; ;"1983-01-01";"ALA";""
"Abeliophyllum distichum";"Rhizogonium distichum"; ; ;"New Zealand";""; ;"";"ALA";""
"Abeliophyllum distichum";"Conospermum distichum";117,5833;-31,9167;"Australia";"Boxvale, [50 miles E of York]."; ;"";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";176,3333333;-38,05;"New Zealand";""; ;"";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";150,933965599;-33,96149763;"Australia";"locality withheld"; ;"2002-07-24";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";150,0218;-25,425;"Australia";"BOGGO20"; ;"1996-01-01";"ALA";""
"Abeliophyllum distichum";"Rhizogonium distichum";177,2;-38,68333333;"New Zealand";""; ;"";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";150,523535948;-34,726003144;"Australia";"locality withheld"; ;"2018-05-18";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";138,72225;-34,80488;"Australia";""; ;"1990-01-01";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";150,569218714;-34,8493177;"Australia";"locality withheld"; ;"2015-11-23";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";175,274;-41,2464;"New Zealand";""; ;"";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";138,60621;-35,54482;"Australia";""; ;"1990-01-01";"ALA";""
"Abeliophyllum distichum";"Rhizogonium distichum";175,0833333;-36,2;"New Zealand";""; ;"";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";147,333333;-42,9;"Australia";"Sandy Bay"; ;"";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";138,76585;-34,77795;"Australia";""; ;"1997-01-01";"ALA";""
"Abeliophyllum distichum";"Rhizogonium distichum";167,35;-45,6;"New Zealand";""; ;"";"ALA";""
"Abeliophyllum distichum";"Taxodium distichum";175,1557394;-37,39515315;"New Zealand";""; ;"";"ALA";""
"Abeliophyllum distichum";"Conospermum distichum"; ; ;"Australia";"Hopetoun to Ravensthorpe."; ;"";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";151,664116827;-32,854973746;"Australia";"locality withheld";2;"2007-02-28";"ALA";""
"Abeliophyllum distichum";"Rhizogonium distichum";176,1333333;-37,81666667;"New Zealand";""; ;"";"ALA";""
"Abeliophyllum distichum";"Taxodium distichum";176,0501931;-37,81488508;"New Zealand";""; ;"";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";149,0402;-25,8292;"Australia";"PonyHill"; ;"2000-01-01";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";145,4344;-22,7856;"Australia";"myross"; ;"2000-01-01";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";174,4333333;-36,9;"";""; ;"";"ALA";""
"Abeliophyllum distichum";"Rhizogonium distichum";173,75;-35,76666667;"New Zealand";""; ;"";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum"; ; ;"Australia";"[No details given.]"; ;"";"ALA";""
"Abeliophyllum distichum";"Rhizogonium distichum";171,9166667;-41,75;"New Zealand";""; ;"";"ALA";""
"Abeliophyllum distichum";"Rhizogonium distichum";172,732;-41,1955;"New Zealand";""; ;"";"ALA";""
"Abeliophyllum distichum";"Sargassum distichum";138,496111;-34,971944;"Australia";"Holdfast Bay"; ;"";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";174,4666667;-37;"";""; ;"";"ALA";""
"Abeliophyllum distichum";"Rhizogonium distichum";145,5667;-38,2667;"Australia";"Lang Lang."; ;"1882-01-01";"ALA";""
"Abeliophyllum distichum";"Rhizogonium distichum";172,8;-40,6667;"";""; ;"";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum"; ; ;"";""; ;"";"ALA";""
