Longitude	Latitude	Species_TNRS	lon.test	lat.test
150,609128	-34,16861374	Abeliophyllum distichum	0,609127994	0,168613743
150,9339656	-33,96149763	Abeliophyllum distichum	0,933965599	0,96149763
150,0218	-25,425	Abeliophyllum distichum	0,0218	0,425
150,5235359	-34,72600314	Abeliophyllum distichum	0,523535948	0,726003144
138,72225	-34,80488	Abeliophyllum distichum	0,72225	0,80488
150,5692187	-34,8493177	Abeliophyllum distichum	0,569218714	0,8493177
138,60621	-35,54482	Abeliophyllum distichum	0,60621	0,54482
147,333333	-42,9	Abeliophyllum distichum	0,333333	0,9
138,76585	-34,77795	Abeliophyllum distichum	0,76585	0,77795
167,35	-45,6	Abeliophyllum distichum	0,35	0,6
151,6641168	-32,85497375	Abeliophyllum distichum	0,664116827	0,854973746
149,0402	-25,8292	Abeliophyllum distichum	0,0402	0,8292
145,4344	-22,7856	Abeliophyllum distichum	0,4344	0,7856
173,75	-35,76666667	Abeliophyllum distichum	0,75	0,76666667
171,9166667	-41,75	Abeliophyllum distichum	0,9166667	0,75
172,732	-41,1955	Abeliophyllum distichum	0,732	0,1955
138,496111	-34,971944	Abeliophyllum distichum	0,496111	0,971944
145,5667	-38,2667	Abeliophyllum distichum	0,5667	0,2667
172,8	-40,6667	Abeliophyllum distichum	0,8	0,6667
123,0167	-33,8167	Abeliophyllum distichum	0,0167	0,8167
150,7566666	-23,1666666	Abeliophyllum distichum	0,7566666	0,1666666
146,4291091	-34,53670131	Abeliophyllum distichum	0,429109073	0,536701308
174,1166667	-39,3	Abeliophyllum distichum	0,1166667	0,3
150,49294	-35,270219	Abeliophyllum distichum	0,49294	0,270219
152,8117237	-31,39234262	Abeliophyllum distichum	0,81172371	0,392342619
144,8167	-37,8667	Abeliophyllum distichum	0,8167	0,8667
140,79294	-34,20133	Abeliophyllum distichum	0,79294	0,20133
144,3233	-19,69	Abeliophyllum distichum	0,3233	0,69
173,25	-35,08333333	Abeliophyllum distichum	0,25	0,08333333
149,1676	-24,3159	Abeliophyllum distichum	0,1676	0,3159
167,5	-45,75	Abeliophyllum distichum	0,5	0,75
138,5861	-35,03868	Abeliophyllum distichum	0,5861	0,03868
151,4399886	-29,95674543	Abeliophyllum distichum	0,43998861	0,956745426
151,3516474	-33,16970438	Abeliophyllum distichum	0,351647357	0,169704379
152,2528554	-30,50164475	Abeliophyllum distichum	0,252855398	0,501644748
149,1038	-25,7311	Abeliophyllum distichum	0,1038	0,7311
146,2491	-22,0942	Abeliophyllum distichum	0,2491	0,0942
167,2	-45,5333	Abeliophyllum distichum	0,2	0,5333
150,0568	-25,4625	Abeliophyllum distichum	0,0568	0,4625
150,1265	-25,4761	Abeliophyllum distichum	0,1265	0,4761
150,021	-25,4556	Abeliophyllum distichum	0,021	0,4556
143,7132447	-34,49893699	Abeliophyllum distichum	0,713244749	0,498936992
151,7347334	-32,87004936	Abeliophyllum distichum	0,734733414	0,870049358
173,5	-42	Abeliophyllum distichum	0,5	0
