"Longitude";"Latitude"
150,609127994;-34,168613743
150,933965599;-33,96149763
150,0218;-25,425
150,523535948;-34,726003144
138,72225;-34,80488
150,569218714;-34,8493177
138,60621;-35,54482
147,333333;-42,9
138,76585;-34,77795
167,35;-45,6
151,664116827;-32,854973746
149,0402;-25,8292
145,4344;-22,7856
173,75;-35,76666667
171,9166667;-41,75
172,732;-41,1955
138,496111;-34,971944
145,5667;-38,2667
172,8;-40,6667
123,0167;-33,8167
150,7566666;-23,1666666
146,429109073;-34,536701308
174,1166667;-39,3
150,49294;-35,270219
152,81172371;-31,392342619
144,8167;-37,8667
140,79294;-34,20133
144,3233;-19,69
173,25;-35,08333333
149,1676;-24,3159
167,5;-45,75
138,5861;-35,03868
151,43998861;-29,956745426
151,351647357;-33,169704379
152,252855398;-30,501644748
149,1038;-25,7311
146,2491;-22,0942
167,2;-45,5333
150,0568;-25,4625
150,1265;-25,4761
143,713244749;-34,498936992
151,734733414;-32,870049358
173,5;-42
144,2167;-36,9
143,5;-38,7667
147,529624458;-31,483357571
138,663333;-34,94
138,69409;-34,96887
143,8667;-35,7
145,0097;-20,1717
151,9632;-32,147
145,0597;-19,9111
151,618095207;-32,548973687
151,616805859;-32,855955306
148,7755;-25,7981
151,25;-25,5833333333
139,76406;-34,02936
173,569;-41,3103
152,585616;-27,295799
142,6;-37,3
151,364093969;-33,522926484
149,8018;-25,5678
169,3569444;-44,10888889
167,373;-45,4389
150,1167;-26,9167
174,0833333;-39,08333333
144,7436;-18,6672
149,125;-26,5916666667
153,371672831;-28,96119388
148,110906495;-30,031691211
150,101155767;-32,315097047
146,9667;-36,7333
145,3802;-22,1595
173,4666667;-35,65
150,2501;-25,7292
145,6694;-22,6103
151,527489485;-30,217856002
170,45;-45,75
153,371246013;-28,927799229
151,557181721;-33,214316508
170,55;-45,8167
123,8667;-33,6167
150,0282;-25,4589
150,94505371;-34,464349101
148,1833;-35,0167
147,3196;-35,7333333
148,7699;-25,7628
151,587617317;-32,68593506
149,1346;-24,2578
148,6702;-26,2186
149,0661;-25,7145
167,5833333;-45,38333333
172,7;-41,1833
150,848848466;-33,890840025
151,206790317;-33,939138289
138,25;-34,5
172,1166667;-41,25
150,85779929;-33,978228304
146,9718629;-35,999648
151,8332;-25,9095
172,267;-42,3833
150,962514297;-33,507961329
145,3838;-22,3053
149,819206946;-36,774054449
151,100983;-33,766228
170,517;-45,8833
169,4833333;-46,55
147,3245763;-31,363358899
146,7;-38,5667
151,423873096;-29,408967764
150,0596;-25,4456
148,8699;-26,237
150,609006214;-34,9124028
151,496393595;-30,634506572
153,560588898;-28,225523211
145,9122;-24,0589
147,1013;-25,3609
151,216989073;-33,936025955
152,85373823;-31,458365767
173;-35
153,1667;-28,9167
172,8166667;-41,83333333
173,2666667;-35,11666667
151,766412532;-32,630639392
151,9555;-32,1404
167,65;-45,86666667
140,52811;-34,43137
146,4833;-22,317
151,166667;-33,833333
169,4166667;-46,58333333
147,644804958;-31,374189862
151,748354529;-32,723919989
148,902333785;-32,552873689
146,907108;-38,20829
152,810654225;-31,43550466
138,516667;-34,933333
151,1368;-25,1181
167,75;-46
